"file","line","object","field","access","context"
"customer_engine_v4.R",,"contract","abschlussdatum","$","parse_date_field(contract$abschlussdatum)"
"customer_engine_v4.R",,"contract","einloesungsdatum","$","parse_date_field(contract$einloesungsdatum)"
"customer_engine_v4.R",,"contract","erstmalige_zuteilungsanwartschaft","$","parse_date_field(contract$erstmalige_zuteilungsanwartschaft)"
"customer_engine_v4.R",,"contract","Tilgungsbeginn","$","parse_date_field(contract$Tilgungsbeginn)"
"customer_engine_v4.R",,"contract","Vertragsende","$","parse_date_field(contract$Vertragsende)"
"customer_engine_v4.R",,"contract","DaBetrag","$","parse_de_number(contract$DaBetrag)"
"customer_engine_v4.R",,"contract","bausparsumme_teuro","$","parse_de_number(contract$bausparsumme_teuro)"
"customer_engine_v4.R",,"contract","guthaben","$","parse_de_number(contract$guthaben)"
"customer_engine_v4.R",,"contract","tariff_amount","$","parse_de_number(contract$tariff_amount)"
"customer_engine_v4.R",,"contract","contract_type","$","is.null(contract$contract_type)"
"customer_engine_v4.R",,"contract","contract_type","$","as.character(contract$contract_type)"
"customer_engine_v4.R",,"contract","BSV","$","as.character(contract$BSV)"
"customer_engine_v4.R",,"rec","id","$","list(id = rec$id, phase = rec$phase, warn = as.integer(rec$warn_loan_pointless), sr = rec$savings_ratio, xc = rec$x_contract, xf = rec$x_first_payment, xa = rec$x_allocation, xl = rec$x_loan_start, xn = rec$x_now, lab_contract = rec$year_contract, lab_first = rec$year_first_payment, lab_alloc = rec$year_allocation, lab_loan = rec$year_loan_start, guthaben = rec$balance, bausparsumme = rec$bauspar_sum, save_target = rec$saving_goal, loan_amount = rec$bauspar_loan, dabetrag = rec$loan_notional, alloc_est = as.integer(rec$allocation_estimated),      da_bsum_ratio = rec$loan_to_bauspar_ratio, bridge = as.integer(rec$is_bridge_loan), goal_frac = rec$goal_fraction, contract_type = rec$contract_type, goal_source = rec$goal_source, special = as.integer(isTRUE(rec$loan_to_bauspar_ratio < 0.5)))"
